Name,Score,User Score,Genre Keywords,Rating,Publisher
Ace Combat Zero The Belkan War,75,8.4," Simulation Flight Modern Jet ",T,Namco
Act of War Direct Action,82,8.4," Strategy Real-Time Military General Military ",T,Atari Atari SA
Activision Anthology,79,0," Miscellaneous Compilation ",E,Aspyr
Actual Sunlight,75,6.2," Action General ",M,Will O'Neill WZO Games
Advance Wars,92,9," Strategy Turn-Based Modern ",E,Nintendo
Advance Wars 2 Black Hole Rising,89,9.3," Strategy Turn-Based Sci-Fi ",E,Nintendo
Advance Wars Days of Ruin,86,8.7," Strategy Turn-Based Modern Modern Tactics ",E10+,Nintendo
Advance Wars Dual Strike,90,9," Strategy Turn-Based Modern Modern Tactics ",E,Nintendo
Adventures of Pip,78,7.7," Action Platformer 2D ",E10+,TicToc Games
Affordable Space Adventures,81,8.1," Scrolling Action Shooter Shoot-'Em-Up Vertical ",E,KnapNok Games
Age of Booty,76,7.2," Strategy Miscellaneous Real-Time Party General Fantasy ",E,Capcom
Age of Conan Hyborian Adventures,80,7.3," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",M,Eidos Interactive SCi
Age of Conan Rise of the Godslayer,83,8.3," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",M,Eidos Interactive Funcom
Age of Empires,83,8.7," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires II The Age of Kings,92,9," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires II The Conquerors Expansion,88,9," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires III,81,7.7," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires III The Asian Dynasties,81,8.5," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires III The WarChiefs,80,8.1," Strategy Real-Time Historic Historic Command ",T,Microsoft Game Studios
Age of Empires Mythologies,78,7.1," Strategy Turn-Based Historic General Historic ",E10+,THQ
Age of Empires The Age of Kings,80,7.9," Strategy Turn-Based Historic General Historic ",E10+,Majesco Games Majesco
Age of Mythology,89,8.9," Strategy Real-Time Fantasy General Fantasy ",T,Microsoft Game Studios
Age of Mythology The Titans,84,8.7," Strategy Real-Time Fantasy General Fantasy ",T,Microsoft Game Studios
Age of Wonders II The Wizards Throne,86,8.5," Strategy Turn-Based Fantasy General Fantasy ",T,Gathering
Age of Wonders III,80,8," Strategy Turn-Based Fantasy General Fantasy ",T,Triumph Studios
Age of Wonders III  Eternal Lords,80,8.4," Strategy Turn-Based General ",NOT PROVIDED,Triumph Studios
Age of Wonders III  Golden Realms,82,8.6," Fantasy Strategy Turn-Based General ",NOT PROVIDED,Triumph Studios
Age of Wonders Shadow Magic,82,8.5," Strategy Turn-Based Fantasy General Fantasy ",T,Gathering
Age of Zombies,79,6.8," Action Adventure Horror Horror Survival ",T,Halfbrick Studios
Aggressive Inline,85,8.7," Sports Alternative Skating ",T,Acclaim
AI War Fleet Command,80,8.3," Strategy Real-Time Sci-Fi Sci-Fi General ",NOT PROVIDED,Arcen Games LLC
Aion,76,6.6," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",T,NCSOFT
Airborne Assault Highway to the Reich,81,6.1," Strategy Wargame Real-Time ",NOT PROVIDED,Matrix Games
Airborne Assault Red Devils Over Arnhem,82,7.4," Strategy Wargame Turn-Based ",E,Battlefront.com
Airfix Dogfighter,75,8.3," Simulation Flight Modern Jet Modern Jet Combat ",E,EON Digital Entertainment
Airscape The Fall of Gravity,75,6.6," Action Platformer 2D ",NOT PROVIDED,Cross-Product
Akai Katana,75,8," Action Shooter Shooter Scrolling Scrolling Shoot-'Em-Up Vertical ",T,Rising Star Games
Al Emmo and the Lost Dutchmans Mine,77,7.4," Adventure Third-Person Point-and-Click Modern Modern ",NOT PROVIDED,Himalaya Studios
Alan Wake,83,8," Action Adventure Modern Horror Horror Survival ",T,Remedy Entertainment
Alan Wake The Writer,80,7.2," Action Adventure Modern Horror Survival ",T,Microsoft Game Studios
Alan Wakes American Nightmare,76,7.8," Action Adventure Modern General Modern Linear ",T,Microsoft Game Studios
Alice in Wonderland,78,0," Action General Action Adventure General Fantasy ",E10+,Disney Interactive Studios
Alice Madness Returns,75,8.4," Action Adventure Adventure General Horror Horror Survival ",M,Electronic Arts
Alien Front Online,76,8.2," Action Shooter Third-Person Sci-Fi ",T,Sega
Alien Hominid,78,8.3," Action Shooter Scrolling ",T,O3 Entertainment
Alien Hominid HD,79,7.5," Action Shooter Scrolling Shooter Scrolling Shoot-'Em-Up Vertical Horizontal ",T,The Behemoth
Alien Isolation,79,8.2," Action Adventure Sci-Fi General Survival ",M,Sega
Alien Swarm,77,8.2," Action Shooter Shooter Third-Person Tactical Modern ",NOT PROVIDED,Valve Software
Alienation,79,8," Sci-Fi Action Shooter Third-Person Arcade ",M,SCEA
Aliens Infestation,76,8.3," Action Platformer 2D Platformer 2D ",T,Sega
Aliens Versus Predator 2,85,8.7," Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade ",M,Fox Interactive
Allegiance,86,8.3," Simulation Sci-Fi Small Spaceship Small Spaceship Combat Space ",E,Microsoft Game Studios
AllPro Football 2K8,75,6.8," Sports Traditional Football Sim Sim Team ",E10+,2K Sports
AllStar Baseball 2002,77,7.6," Sports Traditional Baseball Sim ",E,Acclaim
AllStar Baseball 2003,79,8.1," Sports Traditional Baseball Sim ",E,Acclaim
AllStar Baseball 2004,78,7.5," Sports Traditional Baseball Sim ",E,Acclaim
AllStar Baseball 2005,75,8.8," Sports Traditional Baseball Sim ",E,Acclaim
Alone in the Dark The New Nightmare,77,8.1," Action Adventure Horror ",M,Infogrames
AlphaBounce,78,6.8," Action General General ",T,Motion Twin
Alundra,86,9.1," Role-Playing Action RPG ",T,Working Designs
American Conquest,76,8.4," Strategy Real-Time Historic Historic Command ",T,cdv Software
American McGees Alice,85,8.1," Action Adventure Horror Horror Survival ",M,Electronic Arts
American Truck Simulator,76,6.5," Simulation Vehicle Civilian ",E,Excalibur Publishing Limited Maximum Games Excalibur Publishing
Americas Army,82,6," Action Shooter First-Person Tactical Modern Shooter ",T,U.S. Army
Amnesia Collection,78,7.3," Miscellaneous Compilation ",M,Frictional Games
Amnesia The Dark Descent,85,8.7," Action Adventure Horror Horror Survival ",M,THQ Frictional Games
Amped 2,80,7.7," Sports Alternative Snowboarding ",E,Microsoft Game Studios
Amped Freestyle Snowboarding,78,8.3," Sports Alternative Snowboarding ",E,Microsoft Game Studios
Amplitude,86,8.5," Miscellaneous Rhythm Music ",T,SCEA
Anachronox,77,8.3," Role-Playing Third-Person Third-Person General Japanese-Style ",T,Eidos Interactive
Anarchy Online Shadowlands,85,8.5," Role-Playing Sci-Fi Massively Multiplayer Online Sci-Fi Massively Multiplayer ",T,Funcom
Anarcute,79,7.5," Action General ",NOT PROVIDED,Plug In Digital
And Yet It Moves,83,7.7," Action Platformer 2D Platformer 2D ",E,Broken Rules
Angry Birds,77,3.2," Action General Strategy Miscellaneous General General Puzzle ",E,Chillingo Ltd Chillingo
Angry Video Game Nerd Adventures,77,7.6," Action Platformer Platformer 2D 2D ",NOT PROVIDED,ScrewAttack LLC
Animal Crossing,87,8.8," Miscellaneous Virtual Life ",E,Nintendo
Animal Crossing New Leaf,88,8.7," Simulation Miscellaneous Virtual Life Virtual Life Virtual ",E,Nintendo
Animal Crossing Wild World,86,8.6," Simulation Miscellaneous Virtual Life Virtual Life Virtual ",E,Nintendo
Anno 1701 Dawn of Discovery,78,7.4," Simulation General General ",E,Ubisoft
Anno 2070,83,7.1," Strategy Real-Time Sci-Fi Sci-Fi General ",T,Ubisoft
Anodyne,75,6.6," Adventure General General ",NOT PROVIDED,Analgesic Productions
Anomaly 2,77,7.8," Action Strategy General Real-Time Sci-Fi Sci-Fi General ",T,11 bit studios
Anomaly Warzone Earth,78,7," Action General Strategy Real-Time Sci-Fi General ",E10+,11 bit studios
Antichamber,82,8.2," Miscellaneous Puzzle General Puzzle General ",NOT PROVIDED,Demruth
Antihero,81,7.5," Strategy Turn-Based Tactics ",NOT PROVIDED,Versus Evil Versus Evil LLC
Antipole,76,0," Action Platformer 2D Platformer 2D ",E,Saturnine Games
Ape Escape,90,8.8," Action Platformer 3D ",E,SCEA
Ape Escape 2,82,8.4," Action Platformer 3D ",E,Ubisoft
Ape Escape 3,77,8.7," Action Platformer 3D ",E10+,SCEA
Apollo Justice Ace Attorney,78,8.2," Adventure General General Visual Novel ",T,Capcom
Apotheon,76,7.3," Action Beat-'Em-Up 2D ",T,Alientrap
Aqua Aqua,79,0," Miscellaneous Puzzle General Puzzle ",E,3DO
AquaPazza AquaPlus Dream Match,75,7.8," Action Fighting Fighting 2D 2D ",T,Atlus
Aquaria,82,8.3," Action Adventure Fantasy General Fantasy ",E,Bit Blot
Ar nosurge Plus Ode to an Unborn Star,77,8," Role-Playing Japanese-Style ",T,NIS America Koei Tecmo Games
Arc the Lad Collection,78,8.8," Miscellaneous Compilation ",T,Working Designs
Arcana Heart,77,8.1," Action Fighting 2D ",T,Atlus Co.
Arcanum Of Steamworks and Magick Obscura,81,8.8," Role-Playing PC-style RPG PC-style RPG Western-Style ",M,Sierra Entertainment
ArcheAge,80,3.6," Role-Playing Massively Multiplayer Online Massively Multiplayer Fantasy Fantasy ",M,Trion Worlds
Archer Macleans Mercury,75,6.7," Miscellaneous Puzzle General General Puzzle Puzzle ",E,Ignition Entertainment
Arena Wars,77,7.8," Strategy Real-Time Modern General Modern ",T,Tri Synergy
ARK Episode 3 The Great Escape,78,8.2," Adventure General ",NOT PROVIDED,Gato Salvaje Studio
ArmA II,77,7.5," Action Shooter First-Person Modern Shooter Modern Arcade ",M,Bohemia Interactive 505 Games
Armadillo Run,88,8.2," Miscellaneous Puzzle Puzzle General General ",NOT PROVIDED,Peter Stock
Armed and Dangerous,78,7.8," Action Shooter Sci-Fi Third-Person Sci-Fi Shooter Arcade ",T,LucasArts
Armored Core 2,78,8.4," Simulation Sci-Fi Mech ",T,Agetec Inc.
ARMS,77,7.9," Action Sports Fighting Individual 3D Combat Boxing / Martial Arts ",E10+,Nintendo
Army Men Air Attack 2,75,8," Action Shooter Third-Person Fantasy ",T,3DO
Army Men Air Combat,77,7.8," Action General ",T,3DO
Army of Two,74,7.3," Action Shooter Third-Person Modern Shooter Modern Arcade ",M,EA Games
Art Academy,75,8," Miscellaneous Edutainment Edutainment ",E,Nintendo
Art Academy Home Studio,82,7.9," Miscellaneous Edutainment ",E,Nintendo
Art Academy Lessons for Everyone,81,7.6," Miscellaneous Edutainment Edutainment ",E,Nintendo
Art of Balance,82,8.5," Puzzle General ",E,Shin'en
Art of Balance Touch,82,7.5," Miscellaneous Puzzle General Puzzle General ",E,Shin'en
Art Style BASE 10,77,0," Action Miscellaneous Puzzle Action Puzzle Puzzle ",E,Nintendo
Art Style light trax,76,0," Miscellaneous General General ",E,Nintendo
Art Style ORBIENT,82,8.2," Miscellaneous Puzzle General General Puzzle Puzzle ",E,Nintendo
Art Style PiCTOBiTS,83,8.3," Miscellaneous Puzzle Matching Puzzle Puzzle Matching ",E,Nintendo
Arx Fatalis,77,8.3," Role-Playing First-Person First-Person Western-Style ",M,JoWooD Entertainment AG
Asherons Call,81,8.5," Role-Playing Massively Multiplayer Online Fantasy Massively Multiplayer ",T,Microsoft Game Studios
Asherons Call 2 Fallen Kings,82,7.9," Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer ",M,Microsoft Game Studios
Asherons Call Dark Majesty,80,8.1," Role-Playing Massively Multiplayer Online Fantasy Massively Multiplayer ",T,Microsoft Game Studios
Asphalt 4 Elite Racing,78,8," Simulation Driving Racing GT / Street GT / Street Automobile ",E10+,Gameloft
Assassins Creed,81,7.7," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed Brotherhood,90,8.3," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed Brotherhood  The Da Vinci Disappearance,76,7.4," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed Directors Cut Edition,79,7.5," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed II,86,6.9," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed III,80,6.3," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed IV Black Flag,84,7.7," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed IV Black Flag  Freedom Cry,76,7.1," Action Adventure Historic ",M,Ubisoft
Assassins Creed Origins,81,7," Action Adventure Open-World ",M,Ubisoft
Assassins Creed Revelations,80,7.2," Action Adventure Historic Historic ",M,Ubisoft
Assassins Creed Syndicate,76,6.9," Historic Action Adventure ",M,Ubisoft
Assault Android Cactus,79,7," General General Scrolling Action Shooter Shoot-'Em-Up Top-Down ",NOT PROVIDED,Witch Beam
Assault Heroes,79,7.4," Action Shooter Scrolling Shooter Scrolling Shoot-'Em-Up Vertical ",T,Sierra Online
Assault Heroes 2,75,5.3," Action Shooter Scrolling Shooter Scrolling Shoot-'Em-Up Vertical ",T,Sierra Online
Assetto Corsa,85,8.4," Simulation Driving Racing General GT / Street Automobile ",E,Kunos Simulazioni
Astebreed,86,7.3," Action Shooter Scrolling Shoot-'Em-Up Vertical Horizontal ",NOT PROVIDED,Active Gaming Media Inc. Active Gaming Media
Astro Boy Omega Factor,85,8.8," Action Shooter Scrolling ",E,Sega
AstroPop,78,5.4," Miscellaneous Puzzle General General Puzzle ",E,Oberon Media
Atari Anniversary Edition,74,7.3," Miscellaneous Compilation Compilation ",E,Atari Infogrames
Atelier Ayesha Plus The Alchemist of Dusk,76,8.4," Console-style RPG Role-Playing Japanese-Style ",T,Koei Tecmo Games
Atelier Escha & Logy Alchemists of the Dusk Sky,79,7.4," General Role-Playing General Japanese-Style ",E10+,Tecmo Koei America Corp. Tecmo Koei Games
Atelier Escha & Logy Plus Alchemists of the Dusk Sky,75,7.9," Role-Playing Japanese-Style ",E10+,Koei Tecmo Games
Atelier Meruru Plus The Apprentice of Arland,74,8.1," Role-Playing General General Japanese-Style ",T,Tecmo Koei America Corp. Tecmo Koei Games
Atelier Rorona Plus The Alchemist of Arland,80,8.2," Role-Playing General Japanese-Style ",T,Tecmo Koei America Corp. Tecmo Koei Games
Atelier Shallie Alchemists of the Dusk Sea,76,7.7," Role-Playing General Japanese-Style ",E10+,Koei Tecmo Games
Atelier Shallie Plus Alchemists of the Dusk Sea,78,8.1," Role-Playing Japanese-Style ",T,Koei Tecmo Games
Atelier Sophie The Alchemist of the Mysterious Book,75,8.2," Role-Playing Japanese-Style ",T,Koei Tecmo Games
Atlas Reactor,81,7.8," Turn-Based Action General ",NOT PROVIDED,Trion Worlds
Atom Zombie Smasher,75,7.1," Strategy Real-Time General General ",T,Blendo Games
Attack of the Friday Monsters A Tokyo Tale,77,7.6," Action General Adventure Third-Person General 3D ",E,Level 5
Attack on Titan,77,6.4," Action Beat-'Em-Up 3D ",M,Koei Tecmo Games
ATV Offroad Fury,82,8.4," Driving Racing Rally / Offroad ",E,SCEA
ATV Offroad Fury 2,82,8.9," Driving Racing Rally / Offroad ",E,SCEA
ATV Offroad Fury 3,78,8.4," Driving Racing Rally / Offroad ",E,SCEA
ATV Offroad Fury 4,77,8.6," Driving Racing Rally / Offroad ",E,SCEA
ATV Offroad Fury Pro,76,0," Simulation Driving Racing Rally / Offroad Rally / Offroad Automobile ",E,SCEA
AudioSurf,85,8.8," Action Miscellaneous Rhythm Music Music ",NOT PROVIDED,Invisible Handlebar
Audiosurf 2,76,7.5," Miscellaneous Music Action Rhythm Music ",NOT PROVIDED,Invisible Handlebar
Auditorium HD,79,8.6," Miscellaneous Puzzle Puzzle General Puzzle General ",E,Zoo Games
Austerlitz Napoleons Greatest Victory,78,6.3," Strategy Real-Time Wargame Real-Time ",T,Shrapnel Games
Aven Colony,77,0," Strategy Management Government ",E10+,Team 17 Sold Out
Avernum 2 Crystal Souls,78,8.3," PC-style RPG Role-Playing Western-Style ",NOT PROVIDED,Spiderweb Software
Aviary Attorney,77,7.7," Adventure Visual Novel ",NOT PROVIDED,Sketchy Logic
Awesomenauts,77,7.7," Action Strategy Real-Time Fighting 2D MOBA MOBA ",T,DTP Entertainment
Awesomenauts Assemble,81,7.2," Strategy Real-Time MOBA ",T,Ronimo Games
Axiom Verge,80,8.2," Action Adventure Sci-Fi Sci-Fi General ",T,Tom Happ IndieBox Inc.
Azure Striker Gunvolt,77,8.4," Action Platformer 2D ",E10+,Inti Creates
Azure Striker Gunvolt 2,76,8.3," Action Platformer 2D ",T,Inti Creates
B17 Flying Fortress The Mighty 8th,82,7.3," Simulation Flight WWII WWII Combat ",M,Atari MicroProse
Back to the Future The Game  Episode I Its About Time,74,7.1," Action Adventure Adventure Sci-Fi Sci-Fi Third-Person 3D ",NOT PROVIDED,Telltale Games
Back to the Future The Game  Episode II Get Tannen,74,7.2," Action Adventure Adventure Sci-Fi Sci-Fi 3D Third-Person ",RP,Telltale Games
Back to the Future The Game  Episode V OUTATIME,75,7.2," Action Adventure Adventure Sci-Fi Sci-Fi 3D Third-Person ",RP,Telltale Games
Bad Mojo,74,6.9," Action Adventure Adventure General Horror General ",T,Pulse Entertainment
BADLAND Game of the Year Edition,80,7.5," Action Action Adventure Arcade Linear ",E,Frogmind
Baldurs Gate,91,8.9," Role-Playing PC-style RPG PC-style RPG Western-Style ",T,Interplay
Baldurs Gate Dark Alliance,79,7.7," Role-Playing Action RPG ",T,Interplay
Baldurs Gate Dark Alliance II,77,7.7," Role-Playing Action RPG ",T,Interplay
Baldurs Gate Enhanced Edition,78,6.6," Role-Playing PC-style RPG PC-style RPG Western-Style ",T,Beamdog Overhaul Games
Baldurs Gate II Enhanced Edition,78,7.4," PC-style RPG Role-Playing PC-style RPG Western-Style ",NOT PROVIDED,Beamdog Overhaul Games
Baldurs Gate II Shadows of Amn,95,9.2," Role-Playing PC-style RPG PC-style RPG Western-Style ",T,Interplay
Baldurs Gate II Throne of Bhaal,88,8.8," Role-Playing PC-style RPG PC-style RPG Western-Style ",T,Interplay
Baldurs Gate Siege of Dragonspear,77,3.7," Role-Playing Western-Style ",NOT PROVIDED,Beamdog
Band Hero,76,5," Action Miscellaneous Rhythm Music Music ",E10+,Activision
BangaiO,87,8.1," Action Shooter Scrolling ",E,Conspiracy Entertainment
BangaiO HD Missile Fury,78,7.1," Action Shooter Scrolling Shooter Scrolling ",E10+,D3Publisher
BangaiO Spirits,83,8.1," Action Shooter Scrolling Shooter Scrolling Shoot-'Em-Up Vertical ",E10+,D3Publisher
BanjoKazooie,77,8.3," Action Platformer 3D Platformer 3D ",E,Microsoft Game Studios
BanjoKazooie Nuts & Bolts,79,6.8," Action Platformer 3D Platformer 3D ",E10+,Microsoft Game Studios
BanjoTooie,90,9.1," Action Platformer 3D ",E,Nintendo
Baseball Advance,80,7.8," Sports Traditional Baseball Arcade ",E,THQ
Baseball Mogul 2007,78,7.8," Sports Traditional Baseball Management Management Sim Team ",E,Enlight Software
Bastion,86,8.6," Action General Role-Playing Action RPG Action RPG ",E10+,Warner Bros. Interactive Entertainment
Baten Kaitos Eternal Wings and the Lost Ocean,80,8.5," Role-Playing Console-style RPG ",T,Namco
Baten Kaitos Origins,75,8.6," Role-Playing Console-style RPG ",T,Nintendo
Batman Arkham Asylum,91,8.9," Action Adventure Fantasy General Fantasy ",T,Eidos Interactive
Batman Arkham City,96,8.7," Action Adventure Fantasy Fantasy ",T,Warner Bros. Interactive Entertainment
Batman Arkham City  Armored Edition,85,8.4," Action Adventure Fantasy Fantasy ",T,Warner Bros. Interactive Entertainment
Batman Arkham Knight,85,6.7," General Fantasy Action Adventure ",M,Warner Bros. Interactive Entertainment
Batman Arkham Origins,76,7.7," Action Adventure Fantasy Fantasy ",T,Warner Bros. Interactive Entertainment
Batman Arkham VR,74,7.3," Action General ",M,Warner Bros. Interactive Entertainment
Batman The Brave and the Bold  The Videogame,74,8," Action General General ",E10+,Warner Bros. Interactive Entertainment
Batman The Enemy Within  Episode 1 The Enigma,76,6.2," Adventure Point-and-Click ",M,Telltale Games
Batman The Telltale Series  Episode 2 Children of Arkham,83,6.8," Adventure Point-and-Click ",M,Telltale Games
Batman The Telltale Series  Episode 4 Guardian of Gotham,75,5.1," Adventure Point-and-Click ",M,Telltale Games
Batman The Telltale Series  Episode 5 City of Light,76,7.6," Adventure Point-and-Click ",M,Telltale Games
Battalion Wars,76,8.5," Action Shooter Third-Person Modern ",T,Nintendo
Battle Brothers,80,7.5," Strategy Turn-Based Tactics ",NOT PROVIDED,Overhype Studios
Battle Chasers Nightwar,79,7.5," Role-Playing Action RPG Japanese-Style ",T,Nordic Games Publishing
Battle Engine Aquila,76,0," Action Shooter First-Person Sci-Fi ",T,Atari
Battle of Britain II Wings of Victory,75,4," Simulation Flight WWII WWII Combat ",E10+,GMX Media
Battle Realms,82,8.6," Strategy Real-Time Fantasy General Fantasy ",T,Crave
BattleBlock Theater,85,7.9," Action Platformer 2D ",T,The Behemoth
Battlefield 1,89,8.2," Action General Shooter First-Person Tactical ",M,Electronic Arts EA Games
Battlefield 1 They Shall Not Pass,76,5.4," Action Shooter First-Person Tactical ",NOT PROVIDED,Electronic Arts
Battlefield 1942,89,8.6," Action Shooter First-Person Historic Shooter Historic Arcade ",T,EA Games
Battlefield 1942 Secret Weapons of WWII,79,8.4," Action Shooter First-Person Historic Shooter Historic Arcade ",T,EA Games
Battlefield 1942 The Road to Rome,84,7.7," Action Shooter First-Person Historic Shooter Historic Arcade ",T,EA Games
Battlefield 1943,84,7.8," Action Shooter First-Person Historic Shooter Historic Arcade ",T,Electronic Arts
Battlefield 2,91,8.4," Action Shooter First-Person Tactical Modern Shooter Modern ",T,EA Games
Battlefield 2 Modern Combat,80,8.5," Action Shooter First-Person Tactical Modern ",T,EA Games
Battlefield 2 Special Forces,77,8," Action Shooter First-Person Tactical Modern Shooter Modern ",T,EA Games
Battlefield 2142,80,6.8," Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade ",T,EA Games
Battlefield 2142 Northern Strike,77,8.9," Action Shooter First-Person Sci-Fi Sci-Fi Shooter Arcade ",T,EA Games
Battlefield 3,84,7.5," Action Shooter First-Person Modern Tactical Shooter Modern Arcade ",M,Electronic Arts
Battlefield 3 Armored Kill,79,4.3," Action Shooter Shooter First-Person Modern Tactical Modern Arcade ",M,Electronic Arts
Battlefield 3 Back to Karkand,83,6.9," Action Shooter Shooter First-Person Modern Tactical Modern Arcade ",M,Electronic Arts
Battlefield 3 End Game,78,7.4," Action Shooter Shooter First-Person Modern Tactical Modern Arcade ",M,Electronic Arts
Battlefield 4,79,5.6," Action Shooter Shooter First-Person Modern Modern Arcade ",M,Electronic Arts
Battlefield Bad Company,83,7.7," Action Shooter First-Person Modern Shooter Modern Arcade ",T,EA Games
Battlefield Bad Company 2,88,8.6," Action Shooter First-Person Modern Shooter Modern Arcade ",M,EA Games
Battlefield Bad Company 2 Vietnam,86,8.1," Action Shooter Shooter First-Person Modern Modern Arcade ",M,EA Games
Battlefield Vietnam,84,7.5," Action Shooter First-Person Historic Shooter Historic Arcade ",T,EA Games
Battlefleet Gothic Armada,77,7.3," Sci-Fi Strategy Real-Time General ",NOT PROVIDED,Focus Home Interactive
BattleForge,75,7," Strategy Real-Time Fantasy General Fantasy ",T,Electronic Arts
Battlestations Midway,76,7.3," Strategy Real-Time Historic General Historic ",T,Eidos Interactive
Battlestations Pacific,76,7.4," Strategy Real-Time Historic General Historic ",T,Eidos Interactive
Battlezone 98 Redux,75,8.6," Simulation Vehicle Combat ",NOT PROVIDED,Rebellion
Bayonetta,90,8.1," Action Action Adventure Beat-'Em-Up Fantasy Beat-'Em-Up Linear ",M,Sega
Bayonetta 2,91,9," Action Adventure Fantasy Fantasy Linear ",M,Nintendo
Beach Spikers Virtua Beach Volleyball,76,8.4," Sports Traditional Volleyball ",E,Sega
Beatbuddy Tale of the Guardians,75,7.4," General Action Miscellaneous Rhythm Music Music ",NOT PROVIDED,Reverb
